N_A,N_B,r_Z_A,r_Z_B,C_SS1,r_A_SS1,r_B_SS1,p_SS1toACL_A,p_SS1toRef_A,p_SS1toACL_B,p_SS1toRef_B,r_A_ACL,r_B_ACL,r_A_SS2,r_B_SS2,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Uss1,Uss1_low,Uss1_up,Uacl,Uacl_low,Uacl_up,Uss2,Uss2_low,Uss2_up,sim_time_sec
7,18,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,329.1170321564782,319.67191378062194,338.5621505323345,184.72022518579965,179.45599992797187,189.98445044362742,472.1486681897807,462.62685277559353,481.6704836039679,0.07639649359952423,0.07425269987683576,0.07866775705571868,0.037837914521050536,0.036915598213075836,0.038807498948348104,0.038118686184027736,0.03747168426006513,0.0387884234834535,0.68675995068882,0.668959290075294,0.704560611302346,0.9502481088051171,0.9243260645938026,0.9761701530164316,0.9620677067024634,0.9405136743684225,0.9836217390365044,8.037659168243408
0,25,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,500.12909292345375,489.39786680812387,510.86031903878364,0.0,0.0,0.0,500.12909292345375,489.39786680812387,510.86031903878364,0.04999329479400279,0.0489606268872484,0.051070462947724694,0.0,0.0,0.0,0.04999329479400279,0.0489606268872484,0.051070462947724694,0.15046341704506705,0.14601144054143775,0.15491539354869635,0.9971038971728906,0.9846221527472753,1.009585641598506,0.8407799912316039,0.8160395132566416,0.8655204692065661,8.624255418777466
5,20,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,359.4160981682689,351.69644711068736,367.1357492258504,177.80903837746297,173.1332598159624,182.48481693896355,484.725790625765,474.77401581201406,494.67756543951594,0.0694932228827868,0.06784577232103486,0.07122267230134618,0.02826893893515571,0.027518047047047276,0.029061959964316236,0.04124149113235269,0.04049051555974868,0.04202084973660882,0.5447416995381282,0.5305104014144979,0.5589729976617586,0.9740213217915367,0.9523626834857988,0.9956799600972746,0.9267301425606806,0.8996699448195548,0.9537903403018065,9.84581208229065
9,16,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,309.265559182013,301.36536787501814,317.1657504890079,196.20657597130943,190.52115083087298,201.89200111174588,456.6557622437474,446.3328207437062,466.9787037437886,0.08153499660150453,0.07942857063132165,0.08375618996173603,0.04577740692190534,0.044625444537393456,0.04699041881382331,0.03498323229255454,0.034159518105369796,0.03584765376634527,0.7928597736600191,0.7754490304231972,0.810270516896841,0.9277686995985223,0.9038500124475802,0.9516873867494643,0.9637180923694996,0.9427279817239259,0.9847082030150732,10.08586597442627
8,17,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,323.5390829712604,313.94631821701245,333.1318477255084,191.32119144770667,186.70160538183237,195.94077751358097,463.8278472133035,454.1795630772503,473.47613134935676,0.07727748894804902,0.07554482026919807,0.07909150306084244,0.041575145612637726,0.040475806026097697,0.04273586945407981,0.03650951624731939,0.03594174997036015,0.03709550826600149,0.7291281650895867,0.7105012133945936,0.7477551167845797,0.940939508563873,0.9139780948881098,0.9679009222396362,0.961855158184373,0.9390688741219908,0.9846414422467551,11.494466781616211
10,15,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,300.4438615503968,292.21901752474133,308.6687055760522,201.67280397367986,196.15944846859887,207.18615947876086,443.5152164171889,435.43959437868074,451.5908384556971,0.08350820773153919,0.08129687997230219,0.08584319829193103,0.04973176739305129,0.04832417611253199,0.05122381977490984,0.03382106054775798,0.03310480352831572,0.03456899692136697,0.8376798541610496,0.8147101628299046,0.8606495454921946,0.9334533616999551,0.9133633695756733,0.9535433538242368,0.9677602059725584,0.9475480018224136,0.9879724101227032,8.313801288604736
3,22,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,397.4378651110139,387.6654542734083,407.2102759486195,168.50590853295438,163.52145961758143,173.49035744832733,493.65806444069295,484.5846999832083,502.7314288981776,0.06289937781834526,0.061501405128510565,0.06436238265567061,0.017756386577789558,0.017327655704507113,0.018206871516912443,0.044704276657862946,0.04409552281554945,0.045330073902079195,0.4057449467211776,0.3963046554281599,0.4151852380141953,0.9965708255433325,0.9817739021730416,1.0113677489136235,0.8997593786857795,0.8773577937648979,0.9221609636066611,16.9233820438385
6,19,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,352.053980221187,342.57770584083335,361.5302546015406,181.4591838896127,176.77174118370493,186.14662659552044,480.0744845448971,470.8340174699847,489.31495161980945,0.07155274050230237,0.06958444577018977,0.0736356286885819,0.033352726930893806,0.03280430562783709,0.0339197969817336,0.03954800457135464,0.03865376693746981,0.040484597656200036,0.6064559026396876,0.5890785810400408,0.6238332242393344,0.9635364329493221,0.9346799076789113,0.992392958219733,0.9674203644429419,0.9475576441390965,0.9872830847467873,17.125896215438843
12,13,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,291.76271969548884,283.97606200894165,299.549377382036,220.6851340313367,216.8238955811639,224.5463724815095,420.4492087715408,409.5893323906945,431.30908515238707,0.08602646748040656,0.08409099438102377,0.08805313484305965,0.054968297444570026,0.05355772366324733,0.05645518290916056,0.03098330541147583,0.030391228839094873,0.03159890981205974,0.9533883423914304,0.925342052393301,0.9814346323895599,0.9012290055791944,0.8770061584972493,0.9254518526611395,0.9575611402227274,0.9349714187681222,0.9801508616773327,8.496165990829468
4,21,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,378.41901897532324,370.52461691262636,386.3134210380201,170.81423630439724,165.9599381760619,175.66853443273257,488.4115942782584,475.83201946613923,500.9911690903776,0.06594537122695218,0.06467734883047985,0.0672641079548448,0.023460549817335107,0.022890365822674008,0.02405986527609204,0.04299826880250853,0.04188923239394137,0.044167626733609265,0.4818875951417689,0.46886073047171356,0.4949144598118242,0.976061342892436,0.9554358349481124,0.9966868508367596,0.9243985611147075,0.9029187903229959,0.9458783319064191,18.71828007698059
