N_A,N_B,r_Z_A,r_Z_B,r_A_B1,r_B_B2,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Ub1,Ub1_low,Ub1_up,Ub2,Ub2_low,Ub2_up,sim_time_sec
9,91,0.01,0.01,0.07692307692307693,0.09090909090909091,642.1293181957568,632.2352176563146,652.023418735199,138.63324963641688,136.10959150626528,141.15690776656848,1002.7883810526715,985.1641964871069,1020.4125656182362,0.15565281009598603,0.15315820201948627,0.1582300269738886,0.06491953473355723,0.06380114249323252,0.06607783591846947,0.09098063828828339,0.08964403502632334,0.09235770265853721,0.8513114356053564,0.8300582642655898,0.872564606945123,1.0,0.9713515668682959,1.028648433131704,5.725313663482666
21,79,0.01,0.01,0.07692307692307693,0.09090909090909091,595.2784508321502,584.6283302160766,605.9285714482237,275.09875730470856,267.236316310612,282.96119829880513,864.1060185210941,845.0868064122025,883.1252306299858,0.16841735846404127,0.16354486334957896,0.173589101757686,0.07632729928774325,0.07438270738614243,0.07837629582876567,0.09144318284681237,0.08961287208955074,0.0933498194122369,0.9999193053137806,0.9874171066268873,1.0124215040006739,1.0,0.9713515668682959,1.028648433131704,6.180835247039795
27,73,0.01,0.01,0.07692307692307693,0.09090909090909091,596.1894593181124,585.0790889306406,607.2998297055842,348.7004473114033,342.09745183292546,355.30344278988116,809.3251072127307,793.4262689269996,825.2239454984618,0.16773413497297154,0.16501842477491027,0.17054072574439944,0.07688404816793622,0.0751316363426931,0.07872016071979362,0.09021635081519881,0.08864190144479739,0.09184774203380867,1.0,0.9713515668682959,1.028648433131704,1.0,0.9713515668682959,1.028648433131704,6.19828200340271
6,94,0.01,0.01,0.07692307692307693,0.09090909090909091,715.0112791011996,700.1326629233812,729.8898952790181,123.58778719348518,121.612513987537,125.56306039943337,1027.967930240406,1008.1839977399076,1047.7518627409047,0.13901661615355718,0.135101169839008,0.14316578789843887,0.0485461139470353,0.047764995875874676,0.04935320456323062,0.09146096367882954,0.09005627355228477,0.0929101686188805,0.6330788652353574,0.6172130185315506,0.6489447119391641,1.0,0.9713515668682959,1.028648433131704,6.408548593521118
0,100,0.01,0.01,0.07692307692307693,0.09090909090909091,1106.7671523706179,1086.9693672274022,1126.5649375138335,0.0,0.0,0.0,1106.7671523706179,1086.9693672274022,1126.5649375138335,0.09050757117357426,0.08883403380655865,0.09224537451963327,0.0,0.0,0.0,0.09050757117357426,0.08883403380655865,0.09224537451963327,0.0,0.0,0.0,1.0,0.9874855732602297,1.0125144267397703,6.498166799545288
12,88,0.01,0.01,0.07692307692307693,0.09090909090909091,608.4498174930833,594.6131068042147,622.2865281819519,163.76742675843383,160.75777385849545,166.7770796583722,960.4801657090584,939.1066440585568,981.85368735956,0.16391055630253445,0.16104791260112902,0.16687680925931742,0.07325799959423221,0.07215571552718969,0.0743944841253336,0.09155613622695805,0.08983364727177319,0.09334597120862624,0.9569602557245889,0.9439757621883252,0.9699447492608525,1.0,0.9713515668682959,1.028648433131704,6.5279459953308105
24,76,0.01,0.01,0.07692307692307693,0.09090909090909091,586.5971125967814,569.3164538567046,603.8777713368581,311.60674424009534,305.2186634008105,317.9948250793802,831.1279466472917,815.2150335316686,847.0408597629147,0.16771604464716122,0.1646177832085092,0.17093316755639032,0.07698973205135569,0.0754135380702589,0.07863321955436046,0.09103200860490963,0.08958661616202825,0.09252480586532784,1.0,0.9713515668682959,1.028648433131704,1.0,0.9713515668682959,1.028648433131704,6.609155893325806
18,82,0.01,0.01,0.07692307692307693,0.09090909090909091,596.8226730148041,583.4452382438214,610.2001077857867,233.9642756830429,229.10822721162498,238.82032415446082,899.3911152542627,881.2405364706436,917.5416940378817,0.168670457919582,0.1639915327324222,0.1736242181150234,0.07693979685593944,0.07541544461202888,0.07852704300733043,0.09193861216677676,0.09002740312358955,0.0939327281045452,0.9989690616522505,0.986530240114089,1.011407883190412,1.0,0.9713515668682959,1.028648433131704,7.022150278091431
15,85,0.01,0.01,0.07692307692307693,0.09090909090909091,593.9244925302182,578.936424055187,608.9125610052495,196.47934069330867,192.63032682643444,200.3283545601829,938.5523817077228,920.4628889705165,956.6418744449292,0.16699469172899728,0.16429373522109736,0.16978593898027897,0.07655167202480136,0.07433280471656303,0.07890708359365026,0.09067639328704606,0.08905566922121344,0.09235720194475212,0.9938641149539441,0.9807803666995574,1.0069478632083309,1.0,0.9713515668682959,1.028648433131704,7.089079141616821
3,97,0.01,0.01,0.07692307692307693,0.09090909090909091,855.1060234041431,837.0181026081107,873.1939442001756,117.19163319707272,115.59230584933809,118.79096054480735,1062.5532157012308,1037.3106746101555,1087.795756792306,0.11623272107328798,0.11425596831681324,0.11827907801145797,0.02555853533174154,0.025099979820785014,0.026034157482514395,0.09126357081580919,0.08947198000506468,0.09312837748845024,0.3328366553814223,0.3253252099707721,0.34034810079207256,1.0,0.9713515668682959,1.028648433131704,9.402704000473022
10,90,0.01,0.01,0.07692307692307693,0.09090909090909091,626.2686280664282,612.9854098203193,639.551846312537,144.95428900736164,142.89969308248112,147.00888493224215,992.5179128403399,975.7576196683276,1009.2782060123523,0.1597293563174084,0.1568997738648435,0.162662872396361,0.06898479611864647,0.0679585652887729,0.07004249603516392,0.09010788512742511,0.08766898546079288,0.0926863653548059,0.8896657655457905,0.8634154301022763,0.9159161009893046,1.0,0.9713515668682959,1.028648433131704,6.297529935836792
28,72,0.01,0.01,0.07692307692307693,0.09090909090909091,595.148294821479,585.7738891198472,604.5227005231108,360.45495879193186,351.8425061136878,369.0674114701759,799.4052211634929,780.8901612342787,817.9202810927071,0.16791711226233794,0.165163020820357,0.17076461014077315,0.07711076643861178,0.07573248975130002,0.07854014034149497,0.09030588270139493,0.08865718225780252,0.09201706471220986,1.0,0.9713515668682959,1.028648433131704,1.0,0.9713515668682959,1.028648433131704,6.535768032073975
22,78,0.01,0.01,0.07692307692307693,0.09090909090909091,596.8744415947224,583.4794109604024,610.2694722290423,286.48119009056217,282.01247144909803,290.9499087320263,858.2914048868794,839.9228384236106,876.6599713501481,0.1660323207707164,0.16139034258225354,0.17094923594605624,0.07602187870685317,0.07400217897862507,0.07815491676503836,0.0910664402818908,0.08848809149678112,0.09379955341031805,0.9998624766799674,0.9873533809777101,1.0123715723822249,1.0,0.9713515668682959,1.028648433131704,6.81771445274353
7,93,0.01,0.01,0.07692307692307693,0.09090909090909091,680.0657654393265,664.3835068817037,695.7480239969492,127.9068794916114,124.09559006249063,131.71816892073218,1017.3441876574298,999.3369867130573,1035.3513886018022,0.14680436833460103,0.14450063509825645,0.1491827471751008,0.05461699079332668,0.05378070430443835,0.055479696501477514,0.09108691756889274,0.08966356140819605,0.09255619254300358,0.7176933712124118,0.7052651972622666,0.7301215451625571,1.0,0.9713515668682959,1.028648433131704,6.914431571960449
13,87,0.01,0.01,0.07692307692307693,0.09090909090909091,602.8175497443374,591.7501768917219,613.8849225969528,174.15320542038322,171.18280359360648,177.12360724715995,950.2424299918804,938.8023686605717,961.6824913231891,0.16647305912726917,0.16179102654119615,0.1714341518560519,0.0747058064413727,0.07366048601323587,0.07578122236784451,0.09164243380246691,0.09030746750355431,0.09301746045699731,0.9735209657806437,0.9583127893413383,0.9887291422199491,1.0,0.9713515668682959,1.028648433131704,6.837475776672363
19,81,0.01,0.01,0.07692307692307693,0.09090909090909091,596.8578549447977,582.6085400924542,611.1071697971413,247.28918891359334,243.51227244767622,251.06610537951045,895.7341837309377,880.9000650285958,910.5683024332797,0.16710357926472064,0.16448677009235088,0.16980499573798402,0.07684921256037167,0.07568415459446502,0.07805070038453836,0.09014269472265861,0.088468431876856,0.0918815507573385,0.999934732010057,0.9874252848376588,1.0124441791824552,1.0,0.9713515668682959,1.028648433131704,6.6370627880096436
