N_A,N_B,r_Z_A,r_Z_B,r_gw,r_A_s1,r_B_s2,r_B_s3,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Us1,Us1_low,Us1_up,Us2,Us2_low,Us2_up,Us3,Us3_low,Us3_up,Ugw,Ugw_low,Ugw_up,sim_time_sec
0,25,0.01,0.01,0.125,0.08333333333333333,0.25,0.14285714285714285,207.39433356196227,204.48561071842784,210.3030564054967,0.0,0.0,0.0,207.39433356196227,204.48561071842784,210.3030564054967,0.12062677002176565,0.11887377370344004,0.12243224201794572,0.0,0.0,0.0,0.12062677002176565,0.11887377370344004,0.12243224201794572,0.0,0.0,0.0,0.48536083981703565,0.4739662696692721,0.4967554099647992,0.852990887855614,0.8338597719791732,0.872122003732055,0.9607229552720055,0.9364026405304224,0.9850432700135885,12.41328763961792
5,20,0.01,0.01,1.0,0.05263157894736842,0.09090909090909091,0.07142857142857142,234.46437558766334,230.05429105802864,238.87446011729804,138.10365181715008,135.7687773139165,140.43852632038366,284.1547933586958,278.0618998883063,290.24768682908535,0.10645556962401087,0.10485670857775074,0.10810394471121532,0.03607573984361056,0.035070095135814945,0.03714076148340478,0.07030056884495929,0.068802596564942,0.07186522067264632,0.6886794809139456,0.6766775526262176,0.7006814092016735,0.7718842173097249,0.752784432302915,0.7909840023165348,0.9829647729966849,0.9672337199169528,0.998695826076417,0.10637249532806474,0.10415847610042374,0.10858651455570574,15.162418365478516
4,21,0.01,0.01,0.25,0.0625,0.125,0.09090909090909091,207.59919770473073,204.6590735839395,210.53932182552197,131.05304552035193,129.04708701349455,133.0590040272093,234.44713541393037,230.55554212654212,238.33872870131862,0.12004526757711412,0.11688533753473224,0.12338079879944197,0.03052173830686168,0.030058236329841257,0.03099975868300951,0.08976770703842363,0.08715956579938616,0.0925367539217631,0.4872350853094072,0.4758615872297318,0.49860858338908254,0.7165697680381912,0.6952770608888732,0.7378624751875091,0.9877503142086329,0.9752009717995669,1.000299656617699,0.4825850331136214,0.4712293518503398,0.49394071437690296,15.16901445388794
6,19,0.01,0.01,0.16666666666666666,0.07142857142857142,0.16666666666666666,0.1111111111111111,177.42403284612507,172.61281677834714,182.235248913903,150.80399831356857,146.49303939857867,155.11495722855847,187.2960841947161,184.7498308522467,189.84233753718547,0.14070752295548256,0.13856415751710166,0.14291823905694703,0.03987268118022165,0.039309481656826004,0.04045225356241498,0.1014407307133905,0.10006223211979899,0.10285774139615078,0.5574490730107977,0.5453586104121909,0.5695395356094045,0.6011682067180082,0.5845947219863544,0.617741691449662,0.9090177981263753,0.8880420082376905,0.92999358801506,0.8418418366851589,0.8218388301676101,0.8618448432027077,16.018046617507935
0,25,0.01,0.01,999999999999999.9,0.05,0.08333333333333334,0.06666666666666668,375.0186560920365,365.66294915035866,384.37436303371436,0.0,0.0,0.0,375.0186560920365,365.66294915035866,384.37436303371436,0.06621589929111364,0.06499656153255215,0.06748186136103503,0.0,0.0,0.0,0.06621589929111364,0.06499656153255215,0.06748186136103503,0.0,0.0,0.0,0.7997967507249897,0.7800674808857812,0.8195260205641982,0.9965575934974386,0.983861068212141,1.0092541187827362,1.0299537000181792E-20,0.0,2.614601016545783E-12,17.442784547805786
5,20,0.01,0.01,0.1111111111111111,0.09090909090909091,0.3333333333333333,0.16666666666666666,226.89377464478878,222.44947797360334,231.33807131597422,221.8997378966556,218.27661131201475,225.52286448129647,226.82206130863574,222.2755459657753,231.36857665149617,0.11047103081652174,0.10832430041021417,0.11270456771947818,0.02245176833059545,0.022178865752973263,0.02273147050121217,0.0881898941792379,0.08671518550300812,0.08971562945129881,0.24767257429562778,0.24230815105848766,0.2530369975327679,0.2619307443899319,0.2563927981367417,0.2674686906431221,0.5215165542747271,0.5076597650438099,0.5353733435056443,0.998677420808812,0.9854510065317139,1.0119038350859102,17.93511152267456
2,23,0.01,0.01,0.5,0.05555555555555555,0.1,0.07692307692307693,270.48829433433264,266.24500693380713,274.73158173485814,122.86813356755101,120.7627198871807,124.97354724792133,301.14740194615024,296.38855976337334,305.90624412892714,0.09252072843372479,0.0909028084706187,0.09419728463529796,0.016251622224782387,0.016030527546894782,0.01647890091407575,0.07643138825740546,0.07535555496876072,0.07753838529407663,0.2897929682767993,0.28352825854881303,0.29605767800478555,0.7587966847382324,0.7413721194346085,0.7762212500418563,0.992926360183583,0.9790692002520146,1.0067835201151516,0.18663829061271253,0.18118878861637705,0.192087792609048,20.35711932182312
0,25,0.01,0.01,0.1111111111111111,0.09090909090909091,0.3333333333333333,0.16666666666666666,226.23616727741975,222.94694863823378,229.52538591660573,0.0,0.0,0.0,226.23616727741975,222.94694863823378,229.52538591660573,0.11045192858886692,0.10899340413911335,0.11195001775616469,0.0,0.0,0.0,0.11045192858886692,0.10899340413911335,0.11195001775616469,0.0,0.0,0.0,0.3327144011256875,0.3252617218542634,0.34016708039711163,0.6615095999670435,0.6468390326297151,0.6761801673043719,0.9979711111649043,0.985534716287672,1.0104075060421367,9.361356735229492
3,22,0.01,0.01,0.14285714285714285,0.07692307692307693,0.2,0.125,190.7148174803455,185.7142520708657,195.71538288982526,155.4629191581811,152.94059039325415,157.98524792310806,196.28739144703255,191.08092757827325,201.49385531579185,0.13034156761076054,0.1269253353030528,0.13394678425884787,0.0193248181301606,0.01903459186791951,0.01962403176333399,0.11145213513048059,0.10978536591275996,0.11317029457541584,0.24975011997728133,0.24437676001570535,0.2551234799388573,0.561901407545565,0.5507061049305223,0.5730967101606076,0.8869039194813303,0.8702029916953737,0.9036048472672868,0.9200020765774298,0.9003069224169736,0.939697230737886,25.42834782600403
0,25,0.01,0.01,1.0,0.05263157894736842,0.09090909090909091,0.07142857142857142,349.43558126013613,338.9535008094011,359.9176617108712,0.0,0.0,0.0,349.43558126013613,338.9535008094011,359.9176617108712,0.07202916279091535,0.06997616447190552,0.07420626610492409,0.0,0.0,0.0,0.07202916279091535,0.06997616447190552,0.07420626610492409,0.0,0.0,0.0,0.7980033913030186,0.7746582787011588,0.8213485039048783,0.9963874459462573,0.9836786130710161,1.0090962788214983,0.07304866022464138,0.07118433519057377,0.07491298525870899,9.34656047821045
