N_A,N_B,r_Z_A,r_Z_B,c_T1,c_T2,c_T3,c_T4,r_A_T1,r_B_T1,r_A_T2,r_B_T2,r_A_T3,r_B_T4,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Ut1,Ut1_low,Ut1_up,Ut2,Ut2_low,Ut2_up,Ut3_A,Ut3_A_low,Ut3_A_up,Ut3_B,Ut3_B_low,Ut3_B_up,sim_time_sec
0,50,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,499.86910626433894,490.7654639692399,508.972748559438,0.0,0.0,0.0,499.86910626433894,490.7654639692399,508.972748559438,0.10007870995089856,0.09847203496007706,0.10173868375828257,0.0,0.0,0.0,0.10007870995089856,0.09847203496007706,0.10173868375828257,0.7960549488105694,0.7731342757005566,0.8189756219205822,0.9176415024508887,0.8925634108262522,0.9427195940755252,0.0,0.0,0.0,0.9974347873593132,0.9849687923172656,1.0099007824013608,5.452318906784058
18,32,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,533.6853110623977,524.2203485305923,543.150273594203,683.3926749351988,671.9184192684769,694.8669306019207,477.8526619509901,470.5399360993367,485.1653878026435,0.09360808398211166,0.09199058505716708,0.09528348294973862,0.02633168238506156,0.02591463730398715,0.026762370056238428,0.06692630253204836,0.06572698342985307,0.06817020301879792,0.8555344988738917,0.8361749415270558,0.8748940562207275,1.0,0.9874855732602297,1.0125144267397703,0.28911384120238987,0.2813246410039464,0.29690304140083335,0.6733570442371664,0.6609778618831368,0.6857362265911959,6.92497181892395
14,36,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,515.0746943445399,505.1451535710662,525.0042351180136,659.9575547780009,647.6182134988312,672.2968960571707,475.87378574468596,463.25671503950656,488.49085644986536,0.09730705718152356,0.0954535479920544,0.09923397438148923,0.021207437014967283,0.02085627141169984,0.021570630576741284,0.07607673306321366,0.07404458438022632,0.07822357383319357,0.8598780550329322,0.8404678719128024,0.8792882381530621,1.0,0.9874855732602297,1.0125144267397703,0.23365068859551147,0.2273577790030259,0.23994359818799704,0.7714778148226802,0.7528254097873723,0.790130219857988,8.18512487411499
12,38,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,505.9387155240779,497.30513369218346,514.5722973559723,645.8368435774689,632.353526716962,659.3201604379758,476.004939517335,468.48720177629644,483.52267725837356,0.09876552534086017,0.09728993725374485,0.10028656299209139,0.018587416144025738,0.018165816878441456,0.019029049647762333,0.07957174920091337,0.07730546042680496,0.0819749282070041,0.8684913318937121,0.8542498021537434,0.8827328616336808,0.9986264401229278,0.9857546135877641,1.0114982666580916,0.20407217044534914,0.1994603755086234,0.2086839653820749,0.7992923466036629,0.7828894278085352,0.8156952653987906,8.502411603927612
16,34,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,519.9239357214661,506.36364799233104,533.4842234506012,672.5950435335826,659.783956766493,685.4061303006722,472.6300984043082,464.1309476391554,481.12924916946105,0.09616611033882536,0.09340628085988592,0.09909399181840657,0.02400954836090347,0.023395548359285014,0.02465664497176627,0.07165350568882428,0.07058719829739794,0.0727525230020653,0.8722853391929474,0.8527888624819654,0.8917818159039294,0.9993096777090587,0.9867372680471471,1.0118820873709702,0.260065847463949,0.25330847773721965,0.26682321719067836,0.7263165751956318,0.7085854477824828,0.7440477026087807,9.050343751907349
10,40,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,500.9783092984084,490.9062111014889,511.05040749532793,631.1353519810322,619.9619523071707,642.3087516548936,476.2838814191705,469.62340007267534,482.94436276566563,0.10006573142964235,0.09722548028251528,0.10307692090372282,0.015845943199935614,0.015581845902385795,0.016119147238217696,0.08399525953597566,0.0825186833259778,0.08552564178289729,0.862475151261194,0.845468415930351,0.879481886592037,0.9982251041142369,0.9856978626184887,1.0107523456099852,0.17218128445922834,0.16783212881978926,0.17653044009866742,0.8414787280659685,0.8169680688625708,0.8659893872693661,11.660428762435913
8,42,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,499.56407303596177,486.67114662711896,512.4569994448046,594.5110821892808,584.9462466040325,604.0759177745292,477.9339491615424,470.96800704927045,484.8998912738143,0.10125535425446552,0.09930335812636908,0.1032856294904428,0.013455022699709673,0.013236282652533616,0.013681113935921809,0.08813834876172678,0.08679782817865542,0.08952092532536199,0.8658900715080435,0.843197721407656,0.888582421608431,0.9996433144156802,0.9871329695503646,1.0121536592809959,0.14862752140472874,0.14533613180011073,0.15191891100934674,0.8753287281348868,0.8543821558376601,0.8962753004321136,13.103205442428589
19,31,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,541.7353853696043,532.8844396008099,550.5863311383987,687.9893202900407,677.3620749970136,698.6165655830679,477.3422226250575,470.0305659861076,484.6538792640074,0.09161942880500615,0.08922624118338629,0.09414453271327831,0.027619234837468136,0.027168088059140776,0.028085617897034124,0.06457259867450407,0.06274615745213946,0.06650855739777661,0.8415006624496403,0.8187204558807564,0.8642808690185242,0.9999132544777736,0.9874136176909162,1.012412891264631,0.3030195336786695,0.29428995263064556,0.3117491147266935,0.6440287726490622,0.6306168810229863,0.6574406642751381,10.397402286529541
6,44,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,486.0929764656709,477.7454772076498,494.44047572369203,551.6297531876731,541.1200746552861,562.1394317200602,477.54904718397717,469.05209333158524,486.0460010363691,0.10286889763918008,0.10114098928633328,0.10465687187566722,0.010877407764468992,0.010667569280973887,0.011095667231446699,0.09246692710196718,0.09093479774473634,0.09405156988882216,0.8796889224173012,0.8561893629433661,0.9031884818912363,0.9943632947430485,0.9805295355001059,1.008197053985991,0.11903219025728491,0.11586174859725029,0.12220263191731953,0.9338407457043403,0.9081583490150185,0.9595231423936621,19.639394283294678
17,33,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,530.7757069256911,521.0206300837987,540.5307837675836,675.1177387527002,662.3257867505226,687.9096907548778,476.9896565295822,468.6036073039253,485.3757057552391,0.0940440084605948,0.09219334245058776,0.09597049610475161,0.02517920137501037,0.02471663800060033,0.025659408372493506,0.06914984302809705,0.06753269882908627,0.07084633588388758,0.8670713584220495,0.8509192058574687,0.8832235109866303,1.0,0.9874855732602297,1.0125144267397703,0.27668520618870435,0.26970357146396184,0.28366684091344685,0.6916593992631147,0.6727203787695923,0.7105984197566371,12.661419868469238
