N_A,N_B,r_Z_A,r_Z_B,c_APP,c_STO,r_A_APP,r_B_APP,r_A_STO,r_B_STO,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Uapp,Uapp_low,Uapp_up,Usto,Usto_low,Usto_up,sim_time_sec
0,50,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.14285714285714285,352.80127408673917,346.4470248463603,359.15552332711803,0.0,0.0,0.0,352.80127408673917,346.4470248463603,359.15552332711803,0.14158752256263016,0.13899117829018945,0.14428271227345688,0.0,0.0,0.0,0.14158752256263016,0.13899117829018945,0.14428271227345688,0.8477753713379385,0.8238531656541331,0.8716975770217438,1.0,0.9713515668682959,1.028648433131704,16.809962272644043
10,40,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.07692307692307693,583.0921683896402,570.9944855843911,595.1898511948892,435.3139522218533,428.05415419471524,442.57375024899136,634.3467323870015,620.6809291993799,648.012535574623,0.08605684364758621,0.08440936947881147,0.08776990769021807,0.02276907210186419,0.022115126493880203,0.023462870582854112,0.0631254523759933,0.0618345512449966,0.0644714022437897,0.6915183169354053,0.67158228768534,0.7114543461854707,1.0,0.9874855732602297,1.0125144267397703,20.256386041641235
4,46,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.14285714285714285,351.96395681681344,344.66471737697873,359.26319625664814,419.0179725740274,407.3329850648339,430.7029600832209,346.79204782465445,338.8208077296135,354.7632879196954,0.1415537455753563,0.1384191242719127,0.14483362890808488,0.009556541969638913,0.009285699441741721,0.00984365889337373,0.13264967837682412,0.12979016403705684,0.13563803192570023,0.9348727036047283,0.9102524517456444,0.9594929554638122,1.0,0.9874855732602297,1.0125144267397703,22.454676628112793
6,44,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.07692307692307693,608.4332814645467,599.2144340579986,617.6521288710948,438.8096641828296,432.17836910845114,445.440959257208,643.0977368582087,632.5780430498883,653.6174306665291,0.08231990083151247,0.0808755624682768,0.08381676547345071,0.013674069909988462,0.013458164051706066,0.013897016159563607,0.06844719368677825,0.06732505738366584,0.0696073703017745,0.5988322706999384,0.5843992621343844,0.6132652792654923,1.0,0.9874855732602297,1.0125144267397703,22.747339010238647
12,38,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.14285714285714285,364.17529053937807,356.35343088492357,371.99715019383257,533.6349353615649,518.1026779102574,549.1671928128724,329.10281594164263,319.5278121190984,338.67781976418684,0.13764456418560228,0.13403221141875282,0.14145702593350795,0.02243603811205924,0.021811671805935285,0.0230972031781035,0.11490245379560894,0.11174447864776915,0.118244113042539,1.0,0.9713515668682959,1.028648433131704,0.9866691033148544,0.9680474571557531,1.0052907494739556,25.51721477508545
9,41,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.1,479.4569568879545,470.75895306033715,488.15496071557186,427.3621871819045,418.818192810136,435.90618155367304,492.9433932807557,483.31945035293825,502.5673362085731,0.10450698857007729,0.10222976592036757,0.10688797532276352,0.02103885488472198,0.020701402666650482,0.021387490983815864,0.08322459836409878,0.08166180797788786,0.08484837111600319,0.7949828786180068,0.7714614944999002,0.8185042627361133,1.0,0.9713515668682959,1.028648433131704,25.801237106323242
0,50,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.125,400.5243536530339,393.5454111124608,407.50329619360707,0.0,0.0,0.0,400.5243536530339,393.5454111124608,407.50329619360707,0.12591099418439372,0.12331268841581548,0.12862115394615775,0.0,0.0,0.0,0.12591099418439372,0.12331268841581548,0.12862115394615775,0.7558434062799178,0.7387733781284183,0.7729134344314172,1.0,0.9713515668682959,1.028648433131704,17.651864767074585
10,40,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.07142857142857142,620.0183455947141,607.1275412245141,632.9091499649141,439.0881533619473,432.7056105056312,445.4706962182634,685.0509115335319,676.3256204994609,693.7762025676029,0.08072681845348657,0.07905097976212946,0.08247524984788976,0.022732776347370306,0.022427193176078945,0.02304680203930607,0.05826887074501938,0.05668693854693325,0.059941629880443985,0.6720905207644507,0.6528150839342475,0.691365957594654,1.0,0.9713515668682959,1.028648433131704,17.85848569869995
8,42,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.14285714285714285,359.1385262102055,352.7071577168798,365.5698947035312,459.81425283613504,448.8969998459586,470.7315058263115,344.2837235607112,337.5154820857922,351.05196503563025,0.14047474446641273,0.13823894732799644,0.14278405150275683,0.017453319094116328,0.01698144580590946,0.01795216635755901,0.12148467221351199,0.11915165850363876,0.12391087229753063,0.965060897742658,0.9415611373718511,0.9885606581134649,0.997085135126968,0.9834170051739403,1.0107532650799955,38.84889245033264
5,45,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.1,488.2230305013425,478.3074660839816,498.13859491870346,424.01985922950297,416.135986585871,431.9037318731349,497.0064044118143,488.73223834022804,505.28057048340054,0.10235996638157312,0.10063238876876617,0.1041478954448988,0.011787412698148375,0.011575138996736104,0.012007617519597736,0.09048672111964354,0.08909391426197655,0.0919237671209241,0.7094301396395724,0.689516101714699,0.7293441775644457,1.0,0.9874855732602297,1.0125144267397703,40.06862735748291
9,41,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.09090909090909091,526.8275125398803,517.2690132881271,536.3860117916336,431.4771350551801,424.19760162635316,438.75666848400704,543.619155980096,528.5266344455488,558.7116775146433,0.09488163524728838,0.09307105360950087,0.09676405972779337,0.020857171076152245,0.02057637962405141,0.02114573208278926,0.07518903072016547,0.0731092299535036,0.07739062807955033,0.7333506504084835,0.7165072208168698,0.7501940800000971,1.0,0.9874855732602297,1.0125144267397703,16.75805401802063
0,50,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.1111111111111111,449.9898506578995,441.65193629996696,458.3277650158321,0.0,0.0,0.0,449.9898506578995,441.65193629996696,458.3277650158321,0.1111564876869319,0.10865414405371464,0.11377680809744165,0.0,0.0,0.0,0.1111564876869319,0.10865414405371464,0.11377680809744165,0.6611566473681938,0.643580072265585,0.6787332224708026,1.0,0.9713515668682959,1.028648433131704,13.72334623336792
